Approach,Query,Time_Seconds,Result
JSON_Baseline,Query 1,0.1053,	1000000
JSON_Baseline,Query 2,0.0896,
JSON_Baseline,Query 3,0.0897,
JSON_Baseline,Query 4,0.0891,
JSON_Baseline,Query 5,0.0894,
Preprocessed_Variants,Query 1,0.0982,app.bsky.feed.like	448944
app.bsky.graph.follow	360374
app.bsky.feed.post	90816
app.bsky.feed.repost	58540
app.bsky.graph.block	14040
app.bsky.actor.profile	11762
app.bsky.graph.listitem	8103
	5328
app.bsky.graph.listblock	895
app.bsky.graph.starterpack	405
app.bsky.graph.list	356
app.bsky.feed.threadgate	255
app.bsky.feed.postgate	104
app.bsky.feed.generator	74
app.bsky.labeler.service	4
Preprocessed_Variants,Query 2,0.1095,app.bsky.feed.like	444523	117617
app.bsky.graph.follow	337978	63957
app.bsky.feed.post	86812	50464
app.bsky.feed.repost	56993	26581
app.bsky.graph.block	13838	5785
app.bsky.graph.listitem	7568	1078
app.bsky.actor.profile	5337	5337
app.bsky.graph.listblock	860	449
app.bsky.graph.list	259	218
app.bsky.feed.threadgate	228	196
app.bsky.graph.starterpack	104	101
app.bsky.feed.postgate	101	82
app.bsky.feed.generator	10	9
Preprocessed_Variants,Query 3,0.0937,app.bsky.feed.like	11	444523
app.bsky.feed.post	11	86812
app.bsky.feed.repost	11	56993
Preprocessed_Variants,Query 4,0.0933,did:plc:yj3sjq3blzpynh27cumnp5ks	2024-11-21 11:25:49.000167
did:plc:l5o3qjrmfztir54cpwlv2eme	2024-11-21 11:25:49.001905
did:plc:s4bwqchfzm6gjqfeb6mexgbu	2024-11-21 11:25:49.003907
Preprocessed_Variants,Query 5,0.1103,did:plc:tsyymlun4eqjuw7hqrhmwagd	813007
did:plc:3ug235sfy2pz7cawmpsftb65	811602
did:plc:doxhhgtxqiv47tmcovpbcqai	811404
did:plc:5fdneicvrtswpimiu2a3dcxi	811016
did:plc:vymjozthhozk6veyljbwr3rr	810748
did:plc:fcnbisw7xl6lmtcnvioocffz	810180
did:plc:2obez7gjquzdw3jlwfely4ad	810158
did:plc:ecwo6b5ik4ajvuyizwahjofo	810148
did:plc:gfrzy262wis2pd63fxkkkiiy	810092
did:plc:c3mlihfgztme3gc3h3vtohxf	809946
did:plc:huebml3t4nja4fh37c3razgq	809714
did:plc:jczzrmc6hjx67gmm75yhgyca	809558
did:plc:ybakl5ag66geh3cbnei4flcn	809123
did:plc:mrbcfivp35amfofhjkpycbui	808492
did:plc:qlk5ucoob3lji5ouezadxzue	807904
did:plc:tjpflmgqfu65opcla55m5nlc	807550
did:plc:6bv7bzzyxyawxn3vlih74l6d	806534
did:plc:ogbhnsa3bqc5jlphvvoemet3	805876
did:plc:y5sg36f7urf3oha2zlhqf5bq	805521
did:plc:qwwpezqzm35sskuaqqcbkgzx	804869
did:plc:t6f3gauthvohfg6efpimm44s	804026
did:plc:ahrerkp6526b6b4gpwb5mw3s	802125
did:plc:pjd43exog5mscgzhwtqgr2zn	801762
did:plc:lh2ahqns5pjgyluqe5j6gurs	801240
did:plc:6vtbedcd6stzjy7t2wa3vtky	801179
did:plc:3ciiz54ywxofkufg2cj5iypk	800999
did:plc:hrkjs5tnbeb3uqtg76bjana3	800617
did:plc:hzlrd6vbu4cxg4cnjzofzpul	800183
did:plc:wazoqt2fe2esqok3obyq7hiu	799948
did:plc:wofce5h5psvtsv4e5e6zl3er	799539
did:plc:32ywkor7zud74hr3xswpejao	799399
did:plc:ogokh46mqx4vzhdvu6iykgcn	798255
did:plc:3aq4v3737qalb3es23dx4ajs	797615
did:plc:ksvw37pfa6yiwcdrdh774tfn	797185
did:plc:bw2ahq6qocsufo5uf5pnlzwm	795245
did:plc:4qr4ha72rczq7v3blscigw6k	794653
did:plc:q6qgrvv3nhv54ircblmsbldx	793698
did:plc:n6e3cgl2iseodnul5ykxuhuq	793118
did:plc:zrenabnqczr6ox664xezcryo	792239
did:plc:infbco236uyhwv4qciqk4ftb	790616
did:plc:fgrl5z4kwi6w6bcq42t5wxvg	790208
did:plc:zrki3uaplyjb4kkkhcy23hb5	788604
did:plc:b5frwmjvcxugmte5urs3sscc	788443
did:plc:s4w222htwckdfm3vhmroirui	788409
did:plc:yr6djucvz554vpl2s7boehr7	787938
did:plc:pz2oke4vnbgcz3wvjh76f65u	787895
did:plc:qoporx6fvxz43c46ijhwymar	787757
did:plc:qompuydp2rsgoc5ennkgwzxu	787692
did:plc:3kyff7ud57n35r7sybltaoyo	787540
did:plc:htsvzqtgkza6unwhwdctdyq2	786546
did:plc:kkt5jthdt36enyev4sfp3ufk	786231
did:plc:6hijokmb4ezhnmrhhjjirqvo	784885
did:plc:fp4czk3n774ui6upsl3yr5ye	784795
did:plc:5ghrzfswlpzdhmxhwxr75ruf	784753
did:plc:uh5hdavi3jd6siixjxrxrtkn	784585
did:plc:jg3lwimpgtb5gjv2tez2yhry	784245
did:plc:tqvzvvm3u3hk3kdbwd63lkce	783464
did:plc:nej567g2pl63eddu42segg77	783361
did:plc:g4woxmzf4tmtaxuubj2aos62	783324
did:plc:wcvywab7bt2kp2lzwwr2rxeq	782701
did:plc:5ojekzzv6wft33qjpaofamjj	782640
did:plc:kesdo7w2q2ijdtrrngecalyu	782199
did:plc:cde6mpfngdb4kylusjbxm5ir	782160
did:plc:x22feikuiwtz76kgcd3i5mgj	781628
did:plc:mssmzrebikjuob3h565qld2p	781452
